Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Dorian Finney-Smith,Shared Games with Dru Smith,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Moses Brown,Shared Games with Nerlens Noel,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with Spencer Dinwiddie,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Bogdan Bogdanović,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Dorian Finney-Smith,Dru Smith,Edmond Sumner,Joe Harris,Moses Brown,Nerlens Noel,Nic Claxton,Patty Mills,Payton Pritchard,RaiQuan Gray,Royce O'Neale,Seth Curry,Spencer Dinwiddie,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Bogdan Bogdanović,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Dorian Finney-Smith,co_inf with Dru Smith,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Moses Brown,co_inf with Nerlens Noel,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with Payton Pritchard,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with Spencer Dinwiddie,co_inf with Yuta Watanabe,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,26-230,PHO,DAL,1.0,27.166666666666668,6.0,13.0,0.462,3.0,6.0,0.5,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,15.0,9.8,-3.0,7.0,3.0,0.4285714285714285,13,7,16,17,12,13,9,6,8,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215,10,10,1,17,7,16,24,3,7,23,2,3,22,4,21,21,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3636363636363636,0.2,0.1320754716981132,0.3108108108108108,0.0555555555555555,0.1764705882352941,0.2894736842105263,0.1,0.0,0.0,0.2763157894736842,0.3442622950819672,0.3164556962025316,0.2586206896551724,32,7.0,84.0,2.625,9.799999999999995,78.39999999999999,2.45,17.1,3.5,2.6,2.0,0.6,0.0253246056443824,0.617,0.538,0.253,1.4,2.1,W (+2),W (+2)
2.0,2.0,2022-10-21,26-232,PHO,POR,1.0,22.516666666666666,2.0,9.0,0.222,1.0,6.0,0.167,0.0,0.0,,1.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,5.0,1.8,-5.0,3.0,1.0,0.3333333333333333,13,7,16,17,12,13,9,6,8,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215,10,10,1,17,7,16,24,3,7,23,2,3,22,4,21,21,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3636363636363636,0.2,0.1320754716981132,0.3108108108108108,0.0555555555555555,0.1764705882352941,0.2894736842105263,0.1,0.0,0.0,0.2763157894736842,0.3442622950819672,0.3164556962025316,0.2586206896551724,32,1.0,75.0,2.34375,1.8000000000000005,74.1,2.315625,17.1,3.5,2.6,2.0,0.6,0.0253246056443824,0.617,0.538,0.253,1.4,2.1,L (-2),L (-2)
3.0,3.0,2022-10-23,26-234,PHO,LAC,1.0,22.6,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,0.0,0.0,4.0,11.0,11.1,13.0,2.0,1.0,0.5,13,7,16,17,12,13,9,6,8,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215,10,10,1,17,7,16,24,3,7,23,2,3,22,4,21,21,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3636363636363636,0.2,0.1320754716981132,0.3108108108108108,0.0555555555555555,0.1764705882352941,0.2894736842105263,0.1,0.0,0.0,0.2763157894736842,0.3442622950819672,0.3164556962025316,0.2586206896551724,32,13.0,60.0,1.875,11.1,62.1,1.940625,17.1,3.5,2.6,2.0,0.6,0.0253246056443824,0.617,0.538,0.253,1.4,2.1,W (+17),W (+17)
4.0,4.0,2022-10-25,26-236,PHO,GSW,1.0,33.38333333333333,3.0,11.0,0.273,1.0,6.0,0.167,2.0,4.0,0.5,3.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,9.0,5.8,26.0,5.0,2.0,0.4,13,7,16,17,12,13,9,6,8,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215,10,10,1,17,7,16,24,3,7,23,2,3,22,4,21,21,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3636363636363636,0.2,0.1320754716981132,0.3108108108108108,0.0555555555555555,0.1764705882352941,0.2894736842105263,0.1,0.0,0.0,0.2763157894736842,0.3442622950819672,0.3164556962025316,0.2586206896551724,32,1.0,63.0,1.96875,5.0,59.69999999999999,1.865625,17.1,3.5,2.6,2.0,0.6,0.0253246056443824,0.617,0.538,0.253,1.4,2.1,W (+29),W (+29)
5.0,5.0,2022-10-28,26-239,PHO,NOP,1.0,26.9,5.0,10.0,0.5,2.0,6.0,0.333,4.0,4.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,16.0,14.9,-2.0,4.0,3.0,0.75,13,7,16,17,12,13,9,6,8,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215,10,10,1,17,7,16,24,3,7,23,2,3,22,4,21,21,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3636363636363636,0.2,0.1320754716981132,0.3108108108108108,0.0555555555555555,0.1764705882352941,0.2894736842105263,0.1,0.0,0.0,0.2763157894736842,0.3442622950819672,0.3164556962025316,0.2586206896551724,32,9.0,73.0,2.28125,13.300000000000002,82.60000000000001,2.5812500000000003,17.1,3.5,2.6,2.0,0.6,0.0253246056443824,0.617,0.538,0.253,1.4,2.1,W (+13),W (+13)
6.0,6.0,2022-10-30,26-241,PHO,HOU,1.0,31.23333333333333,7.0,15.0,0.467,5.0,11.0,0.455,0.0,0.0,,0.0,7.0,7.0,1.0,1.0,0.0,0.0,3.0,19.0,13.9,19.0,4.0,2.0,0.5,13,7,16,17,12,13,9,6,8,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215,10,10,1,17,7,16,24,3,7,23,2,3,22,4,21,21,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3636363636363636,0.2,0.1320754716981132,0.3108108108108108,0.0555555555555555,0.1764705882352941,0.2894736842105263,0.1,0.0,0.0,0.2763157894736842,0.3442622950819672,0.3164556962025316,0.2586206896551724,32,13.0,84.0,2.625,13.900000000000002,81.1,2.534375,17.1,3.5,2.6,2.0,0.6,0.0253246056443824,0.617,0.538,0.253,1.4,2.1,W (+15),W (+15)
7.0,7.0,2022-11-01,26-243,PHO,MIN,1.0,33.25,10.0,17.0,0.588,7.0,11.0,0.636,2.0,3.0,0.667,0.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0,29.0,26.7,17.0,6.0,3.0,0.5,13,7,16,17,12,13,9,6,8,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215,10,10,1,17,7,16,24,3,7,23,2,3,22,4,21,21,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3636363636363636,0.2,0.1320754716981132,0.3108108108108108,0.0555555555555555,0.1764705882352941,0.2894736842105263,0.1,0.0,0.0,0.2763157894736842,0.3442622950819672,0.3164556962025316,0.2586206896551724,32,18.0,70.0,2.1875,25.90000000000001,79.2,2.475,17.1,3.5,2.6,2.0,0.6,0.0253246056443824,0.617,0.538,0.253,1.4,2.1,W (+9),W (+9)
8.0,8.0,2022-11-04,26-246,PHO,POR,1.0,5.233333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.1,8.0,1.0,0.0,0.0,13,7,16,17,12,13,9,6,8,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215,10,10,1,17,7,16,24,3,7,23,2,3,22,4,21,21,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3636363636363636,0.2,0.1320754716981132,0.3108108108108108,0.0555555555555555,0.1764705882352941,0.2894736842105263,0.1,0.0,0.0,0.2763157894736842,0.3442622950819672,0.3164556962025316,0.2586206896551724,32,-1.0,84.0,2.625,-1.1,95.3,2.978125,17.1,3.5,2.6,2.0,0.6,0.0253246056443824,0.617,0.538,0.253,1.4,2.1,L (-2),L (-2)
9.0,,2022-11-05,26-247,PHO,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,7,16,17,12,13,9,6,8,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215,10,10,1,17,7,16,24,3,7,23,2,3,22,4,21,21,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3636363636363636,0.2,0.1320754716981132,0.3108108108108108,0.0555555555555555,0.1764705882352941,0.2894736842105263,0.1,0.0,0.0,0.2763157894736842,0.3442622950819672,0.3164556962025316,0.2586206896551724,32,,102.0,3.1875,0.0,110.6,3.45625,17.1,3.5,2.6,2.0,0.6,0.0253246056443824,0.617,0.538,0.253,1.4,2.1,W (+20),W (+20)
10.0,,2022-11-07,26-249,PHO,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,7,16,17,12,13,9,6,8,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215,10,10,1,17,7,16,24,3,7,23,2,3,22,4,21,21,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3636363636363636,0.2,0.1320754716981132,0.3108108108108108,0.0555555555555555,0.1764705882352941,0.2894736842105263,0.1,0.0,0.0,0.2763157894736842,0.3442622950819672,0.3164556962025316,0.2586206896551724,32,,82.0,2.5625,0.0,95.5,2.984375,17.1,3.5,2.6,2.0,0.6,0.0253246056443824,0.617,0.538,0.253,1.4,2.1,L (-12),L (-12)
