Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Shared Games with James Wiseman,Shared Games with Cameron Johnson,Shared Games with Dorian Finney-Smith,Shared Games with Mikal Bridges,Shared Games with Spencer Dinwiddie,Alondes Williams,Ben Simmons,Bogdan Bogdanović,Cam Thomas,Cameron Johnson,David Duke Jr.,Day'Ron Sharpe,Dorian Finney-Smith,Dru Smith,Edmond Sumner,Joe Harris,Mikal Bridges,Moses Brown,Nic Claxton,Patty Mills,Payton Pritchard,RaiQuan Gray,Royce O'Neale,Seth Curry,Spencer Dinwiddie,Yuta Watanabe,co_inf with Ben Simmons,co_inf with Bogdan Bogdanović,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with Payton Pritchard,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with Yuta Watanabe,co_inf with Alondes Williams,co_inf with Cameron Johnson,co_inf with Dorian Finney-Smith,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Moses Brown,co_inf with RaiQuan Gray,co_inf with Spencer Dinwiddie,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,28-192,DET,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,13,2,4,8,14,10,8,13,7,5,13,12,3,8,13,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0,3,1,1,1,3,3,6,6,4,2,1,2,3,3,2,2,3,3,3,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,36.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0526315789473684,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0405405405405405,0.0263157894736842,0.025,0.0,0.0263157894736842,0.0491803278688524,0.0344827586206896,0.0,0.0714285714285714,0.0454545454545454,0.0,0.036144578313253,0.0,0.0,0.0379746835443038,36,,91.0,2.5277777777777777,0.0,88.19999999999999,2.45,7.9,0.0,-3.8,-6.5,2.6,0.0035378662244333,0.424,0.056,0.333,-0.1,-0.3,W (+4),W (+4)
2.0,,2022-10-21,28-194,DET,NYK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,13,2,4,8,14,10,8,13,7,5,13,12,3,8,13,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0,3,1,1,1,3,3,6,6,4,2,1,2,3,3,2,2,3,3,3,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,36.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0526315789473684,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0405405405405405,0.0263157894736842,0.025,0.0,0.0263157894736842,0.0491803278688524,0.0344827586206896,0.0,0.0714285714285714,0.0454545454545454,0.0,0.036144578313253,0.0,0.0,0.0379746835443038,36,,76.0,2.111111111111111,0.0,75.89999999999999,2.108333333333333,7.9,0.0,-3.8,-6.5,2.6,0.0035378662244333,0.424,0.056,0.333,-0.1,-0.3,L (-24),L (-24)
3.0,,2022-10-22,28-195,DET,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,13,2,4,8,14,10,8,13,7,5,13,12,3,8,13,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0,3,1,1,1,3,3,6,6,4,2,1,2,3,3,2,2,3,3,3,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,36.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0526315789473684,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0405405405405405,0.0263157894736842,0.025,0.0,0.0263157894736842,0.0491803278688524,0.0344827586206896,0.0,0.0714285714285714,0.0454545454545454,0.0,0.036144578313253,0.0,0.0,0.0379746835443038,36,,73.0,2.0277777777777777,0.0,73.19999999999999,2.033333333333333,7.9,0.0,-3.8,-6.5,2.6,0.0035378662244333,0.424,0.056,0.333,-0.1,-0.3,L (-9),L (-9)
4.0,,2022-10-25,28-198,DET,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,13,2,4,8,14,10,8,13,7,5,13,12,3,8,13,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0,3,1,1,1,3,3,6,6,4,2,1,2,3,3,2,2,3,3,3,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,36.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0526315789473684,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0405405405405405,0.0263157894736842,0.025,0.0,0.0263157894736842,0.0491803278688524,0.0344827586206896,0.0,0.0714285714285714,0.0454545454545454,0.0,0.036144578313253,0.0,0.0,0.0379746835443038,36,,64.0,1.7777777777777777,0.0,64.69999999999999,1.7972222222222218,7.9,0.0,-3.8,-6.5,2.6,0.0035378662244333,0.424,0.056,0.333,-0.1,-0.3,L (-21),L (-21)
5.0,,2022-10-26,28-199,DET,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,13,2,4,8,14,10,8,13,7,5,13,12,3,8,13,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0,3,1,1,1,3,3,6,6,4,2,1,2,3,3,2,2,3,3,3,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,36.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0526315789473684,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0405405405405405,0.0263157894736842,0.025,0.0,0.0263157894736842,0.0491803278688524,0.0344827586206896,0.0,0.0714285714285714,0.0454545454545454,0.0,0.036144578313253,0.0,0.0,0.0379746835443038,36,,82.0,2.2777777777777777,0.0,95.9,2.663888888888889,7.9,0.0,-3.8,-6.5,2.6,0.0035378662244333,0.424,0.056,0.333,-0.1,-0.3,L (-5),L (-5)
6.0,,2022-10-28,28-201,DET,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,13,2,4,8,14,10,8,13,7,5,13,12,3,8,13,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0,3,1,1,1,3,3,6,6,4,2,1,2,3,3,2,2,3,3,3,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,36.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0526315789473684,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0405405405405405,0.0263157894736842,0.025,0.0,0.0263157894736842,0.0491803278688524,0.0344827586206896,0.0,0.0714285714285714,0.0454545454545454,0.0,0.036144578313253,0.0,0.0,0.0379746835443038,36,,97.0,2.6944444444444446,0.0,95.0,2.638888888888889,7.9,0.0,-3.8,-6.5,2.6,0.0035378662244333,0.424,0.056,0.333,-0.1,-0.3,L (-24),L (-24)
7.0,,2022-10-30,28-203,DET,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,13,2,4,8,14,10,8,13,7,5,13,12,3,8,13,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0,3,1,1,1,3,3,6,6,4,2,1,2,3,3,2,2,3,3,3,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,36.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0526315789473684,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0405405405405405,0.0263157894736842,0.025,0.0,0.0263157894736842,0.0491803278688524,0.0344827586206896,0.0,0.0714285714285714,0.0454545454545454,0.0,0.036144578313253,0.0,0.0,0.0379746835443038,36,,88.0,2.4444444444444446,0.0,105.10000000000002,2.919444444444445,7.9,0.0,-3.8,-6.5,2.6,0.0035378662244333,0.424,0.056,0.333,-0.1,-0.3,W (+14),W (+14)
8.0,1.0,2022-10-31,28-204,DET,MIL,0,18.5,0.0,3.0,.000,0.0,0.0,,2,2.0,1.000,2.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,4.6,+1,3.0,0.0,0.0,10,13,2,4,8,14,10,8,13,7,5,13,12,3,8,13,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0,3,1,1,1,3,3,6,6,4,2,1,2,3,3,2,2,3,3,3,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,36.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0526315789473684,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0405405405405405,0.0263157894736842,0.025,0.0,0.0263157894736842,0.0491803278688524,0.0344827586206896,0.0,0.0714285714285714,0.0454545454545454,0.0,0.036144578313253,0.0,0.0,0.0379746835443038,36,5.0,78.0,2.1666666666666665,3.800000000000001,90.4,2.511111111111111,7.9,0.0,-3.8,-6.5,2.6,0.0035378662244333,0.424,0.056,0.333,-0.1,-0.3,L (-2),L (-2)
9.0,2.0,2022-11-02,28-206,DET,MIL,0,13.25,2.0,4.0,.500,0.0,0.0,,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,2.8,-7,4.0,2.0,0.5,10,13,2,4,8,14,10,8,13,7,5,13,12,3,8,13,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0,3,1,1,1,3,3,6,6,4,2,1,2,3,3,2,2,3,3,3,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,36.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0526315789473684,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0405405405405405,0.0263157894736842,0.025,0.0,0.0263157894736842,0.0491803278688524,0.0344827586206896,0.0,0.0714285714285714,0.0454545454545454,0.0,0.036144578313253,0.0,0.0,0.0379746835443038,36,4.0,98.0,2.7222222222222223,2.8,107.8,2.9944444444444445,7.9,0.0,-3.8,-6.5,2.6,0.0035378662244333,0.424,0.056,0.333,-0.1,-0.3,L (-25),L (-25)
10.0,3.0,2022-11-04,28-208,DET,CLE,0,18.716666666666665,1.0,3.0,.333,0.0,0.0,,0,0.0,,0.0,6.0,6.0,0.0,2.0,0.0,3.0,2.0,2.0,0.3,-10,3.0,1.0,0.3333333333333333,10,13,2,4,8,14,10,8,13,7,5,13,12,3,8,13,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0,3,1,1,1,3,3,6,6,4,2,1,2,3,3,2,2,3,3,3,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,36.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0526315789473684,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0405405405405405,0.0263157894736842,0.025,0.0,0.0263157894736842,0.0491803278688524,0.0344827586206896,0.0,0.0714285714285714,0.0454545454545454,0.0,0.036144578313253,0.0,0.0,0.0379746835443038,36,4.0,78.0,2.1666666666666665,0.2999999999999998,95.20000000000002,2.644444444444445,7.9,0.0,-3.8,-6.5,2.6,0.0035378662244333,0.424,0.056,0.333,-0.1,-0.3,L (-24),L (-24)
