Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,26-314,UTA,,DEN,W (+21),0,0:55,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+4,0.0,0.0,,27,25,17,33,41,12,39,11,4,26,5,20,19,41,33,45,30,47,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,65.0,36.0,74.0,0.5625,0.0,0.3205128205128205,0.0,0.9444444444444444,0.5409836065573771,0.6029411764705882,0.5454545454545454,0.5909090909090909,0.7857142857142857,0.5714285714285714,0.3209876543209876,0.7142857142857143,0.2985074626865671,0.3220338983050847,0.6949152542372882,0.5892857142857143,0.6923076923076923,0.8333333333333334,0.6351351351351351,18,21,41.0,52.0,67.0,0.4390243902439024,0.4038461538461538,0.0,20,0.0,62.0,3.1,0.0,65.0,3.25
1,2,,2022-10-21,26-316,UTA,@,MIN,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,25,17,33,41,12,39,11,4,26,5,20,19,41,33,45,30,47,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,65.0,36.0,74.0,0.5625,0.0,0.3205128205128205,0.0,0.9444444444444444,0.5409836065573771,0.6029411764705882,0.5454545454545454,0.5909090909090909,0.7857142857142857,0.5714285714285714,0.3209876543209876,0.7142857142857143,0.2985074626865671,0.3220338983050847,0.6949152542372882,0.5892857142857143,0.6923076923076923,0.8333333333333334,0.6351351351351351,18,21,41.0,52.0,67.0,0.4390243902439024,0.4038461538461538,0.0,20,,101.0,5.05,0.0,112.3,5.615
2,3,2,2022-10-23,26-318,UTA,@,NOP,W (+1),0,0:09,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,27,25,17,33,41,12,39,11,4,26,5,20,19,41,33,45,30,47,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,65.0,36.0,74.0,0.5625,0.0,0.3205128205128205,0.0,0.9444444444444444,0.5409836065573771,0.6029411764705882,0.5454545454545454,0.5909090909090909,0.7857142857142857,0.5714285714285714,0.3209876543209876,0.7142857142857143,0.2985074626865671,0.3220338983050847,0.6949152542372882,0.5892857142857143,0.6923076923076923,0.8333333333333334,0.6351351351351351,18,21,41.0,52.0,67.0,0.4390243902439024,0.4038461538461538,0.0,20,0.0,68.0,3.4,0.0,88.10000000000001,4.405
3,4,3,2022-10-24,26-319,UTA,@,HOU,L (-6),0,15:44,5.0,9.0,.556,3.0,5.0,.600,0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,2.0,4.0,13.0,6.8,-4,4.0,2.0,0.5,27,25,17,33,41,12,39,11,4,26,5,20,19,41,33,45,30,47,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,65.0,36.0,74.0,0.5625,0.0,0.3205128205128205,0.0,0.9444444444444444,0.5409836065573771,0.6029411764705882,0.5454545454545454,0.5909090909090909,0.7857142857142857,0.5714285714285714,0.3209876543209876,0.7142857142857143,0.2985074626865671,0.3220338983050847,0.6949152542372882,0.5892857142857143,0.6923076923076923,0.8333333333333334,0.6351351351351351,18,21,41.0,52.0,67.0,0.4390243902439024,0.4038461538461538,0.0,20,5.0,79.0,3.95,6.799999999999999,67.5,3.375
4,5,4,2022-10-26,26-321,UTA,,HOU,W (+8),0,6:01,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-6,0.0,0.0,,27,25,17,33,41,12,39,11,4,26,5,20,19,41,33,45,30,47,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,65.0,36.0,74.0,0.5625,0.0,0.3205128205128205,0.0,0.9444444444444444,0.5409836065573771,0.6029411764705882,0.5454545454545454,0.5909090909090909,0.7857142857142857,0.5714285714285714,0.3209876543209876,0.7142857142857143,0.2985074626865671,0.3220338983050847,0.6949152542372882,0.5892857142857143,0.6923076923076923,0.8333333333333334,0.6351351351351351,18,21,41.0,52.0,67.0,0.4390243902439024,0.4038461538461538,0.0,20,-1.0,88.0,4.4,-1.1,74.49999999999999,3.724999999999999
5,6,,2022-10-28,26-323,UTA,@,DEN,L (-16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,25,17,33,41,12,39,11,4,26,5,20,19,41,33,45,30,47,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,65.0,36.0,74.0,0.5625,0.0,0.3205128205128205,0.0,0.9444444444444444,0.5409836065573771,0.6029411764705882,0.5454545454545454,0.5909090909090909,0.7857142857142857,0.5714285714285714,0.3209876543209876,0.7142857142857143,0.2985074626865671,0.3220338983050847,0.6949152542372882,0.5892857142857143,0.6923076923076923,0.8333333333333334,0.6351351351351351,18,21,41.0,52.0,67.0,0.4390243902439024,0.4038461538461538,0.0,20,,75.0,3.75,0.0,68.1,3.405
6,7,,2022-10-29,26-324,UTA,,MEM,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,25,17,33,41,12,39,11,4,26,5,20,19,41,33,45,30,47,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,65.0,36.0,74.0,0.5625,0.0,0.3205128205128205,0.0,0.9444444444444444,0.5409836065573771,0.6029411764705882,0.5454545454545454,0.5909090909090909,0.7857142857142857,0.5714285714285714,0.3209876543209876,0.7142857142857143,0.2985074626865671,0.3220338983050847,0.6949152542372882,0.5892857142857143,0.6923076923076923,0.8333333333333334,0.6351351351351351,18,21,41.0,52.0,67.0,0.4390243902439024,0.4038461538461538,0.0,20,,66.0,3.3,0.0,81.70000000000002,4.085000000000001
7,8,,2022-10-31,26-326,UTA,,MEM,W (+16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,25,17,33,41,12,39,11,4,26,5,20,19,41,33,45,30,47,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,65.0,36.0,74.0,0.5625,0.0,0.3205128205128205,0.0,0.9444444444444444,0.5409836065573771,0.6029411764705882,0.5454545454545454,0.5909090909090909,0.7857142857142857,0.5714285714285714,0.3209876543209876,0.7142857142857143,0.2985074626865671,0.3220338983050847,0.6949152542372882,0.5892857142857143,0.6923076923076923,0.8333333333333334,0.6351351351351351,18,21,41.0,52.0,67.0,0.4390243902439024,0.4038461538461538,0.0,20,,62.0,3.1,0.0,61.6,3.08
8,9,,2022-11-02,26-328,UTA,@,DAL,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,25,17,33,41,12,39,11,4,26,5,20,19,41,33,45,30,47,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,65.0,36.0,74.0,0.5625,0.0,0.3205128205128205,0.0,0.9444444444444444,0.5409836065573771,0.6029411764705882,0.5454545454545454,0.5909090909090909,0.7857142857142857,0.5714285714285714,0.3209876543209876,0.7142857142857143,0.2985074626865671,0.3220338983050847,0.6949152542372882,0.5892857142857143,0.6923076923076923,0.8333333333333334,0.6351351351351351,18,21,41.0,52.0,67.0,0.4390243902439024,0.4038461538461538,0.0,20,,58.0,2.9,0.0,50.50000000000003,2.5250000000000012
9,10,5,2022-11-04,26-330,UTA,@,LAL,W (+14),0,1:17,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,+2,0.0,0.0,,27,25,17,33,41,12,39,11,4,26,5,20,19,41,33,45,30,47,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,65.0,36.0,74.0,0.5625,0.0,0.3205128205128205,0.0,0.9444444444444444,0.5409836065573771,0.6029411764705882,0.5454545454545454,0.5909090909090909,0.7857142857142857,0.5714285714285714,0.3209876543209876,0.7142857142857143,0.2985074626865671,0.3220338983050847,0.6949152542372882,0.5892857142857143,0.6923076923076923,0.8333333333333334,0.6351351351351351,18,21,41.0,52.0,67.0,0.4390243902439024,0.4038461538461538,0.0,20,0.0,88.0,4.4,-0.3999999999999999,89.89999999999999,4.494999999999999
