Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,21-328,UTA,,DEN,W (+21),0,13:42,1.0,6.0,.167,0.0,1.0,.000,1,2.0,.500,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,1.1,+7,5.0,1.0,0.2,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,-2.0,64.0,3.2,0.7000000000000012,64.3,3.215
1,2,2,2022-10-21,21-330,UTA,@,MIN,W (+6),0,14:25,4.0,8.0,.500,0.0,2.0,.000,0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,8.0,6.6,-3,6.0,4.0,0.6666666666666666,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,5.0,96.0,4.8,6.6000000000000005,105.7,5.285
2,3,3,2022-10-23,21-332,UTA,@,NOP,W (+1),0,9:12,3.0,5.0,.600,1.0,2.0,.500,0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,7.0,4.6,-8,3.0,2.0,0.6666666666666666,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,4.0,64.0,3.2,4.6,83.50000000000001,4.175000000000001
3,4,4,2022-10-24,21-333,UTA,@,HOU,L (-6),0,17:06,3.0,7.0,.429,1.0,3.0,.333,2,2.0,1.000,1.0,4.0,5.0,3.0,1.0,2.0,2.0,3.0,9.0,8.5,-7,4.0,2.0,0.5,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,9.0,75.0,3.75,7.699999999999999,66.6,3.3299999999999996
4,5,5,2022-10-26,21-335,UTA,,HOU,W (+8),0,28:12,5.0,11.0,.455,2.0,7.0,.286,2,3.0,.667,0.0,7.0,7.0,4.0,2.0,0.0,0.0,3.0,14.0,13.6,+8,4.0,3.0,0.75,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,13.0,74.0,3.7,12.800000000000004,60.59999999999999,3.0299999999999994
5,6,6,2022-10-28,21-337,UTA,@,DEN,L (-16),0,21:05,3.0,11.0,.273,0.0,5.0,.000,0,0.0,,2.0,2.0,4.0,2.0,1.0,1.0,0.0,4.0,6.0,3.0,-15,6.0,3.0,0.5,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,3.0,72.0,3.6,3.0,65.1,3.255
6,7,7,2022-10-29,21-338,UTA,,MEM,W (+1),0,10:21,0.0,2.0,.000,0.0,1.0,.000,1,2.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,-2.9,-7,1.0,0.0,0.0,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,-4.0,70.0,3.5,-3.3,85.00000000000001,4.250000000000001
7,8,8,2022-10-31,21-340,UTA,,MEM,W (+16),0,19:42,5.0,11.0,.455,1.0,6.0,.167,2,2.0,1.000,1.0,4.0,5.0,2.0,0.0,0.0,3.0,1.0,13.0,7.2,-1,5.0,4.0,0.8,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,4.0,58.0,2.9,6.399999999999997,55.2,2.7600000000000002
8,9,9,2022-11-02,21-342,UTA,@,DAL,L (-3),0,13:56,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,-10,1.0,1.0,1.0,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,1.0,57.0,2.85,1.7,48.800000000000026,2.4400000000000013
9,10,10,2022-11-04,21-344,UTA,@,LAL,W (+14),0,15:34,3.0,7.0,.429,1.0,2.0,.500,0,0.0,,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,7.0,7.3,+10,5.0,2.0,0.4,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,6.0,82.0,4.1,7.299999999999998,82.19999999999999,4.109999999999999
