Unnamed: 0,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League_Factor,League_VOP,gPER1_atom
0,1.0,Boston Celtics*,72,,3208,8116,0.395,,,,3208,8116,0.395,1963,2563,0.766,,,5601,1568,,,,1769,8379,0.584238772816297,,1.714436909047396
1,2.0,Syracuse Nationals*,72,,3050,7490,0.407,,,,3050,7490,0.407,2046,2642,0.774,,,4900,1340,,,,1961,8146,0.584238772816297,,1.74331804735284
2,3.0,New York Knicks*,72,,2863,7170,0.399,,,,2863,7170,0.399,2217,2802,0.791,,,4991,1383,,,,1899,7943,0.584238772816297,,1.7177777775742442
3,4.0,St. Louis Hawks*,72,,2879,7015,0.41,,,,2879,7015,0.41,2072,2757,0.752,,,5045,1567,,,,1937,7830,0.584238772816297,,1.682006892322634
4,5.0,Minneapolis Lakers*,72,,2779,7084,0.392,,,,2779,7084,0.392,2071,2718,0.762,,,5149,1373,,,,1874,7629,0.584238772816297,,1.7113494656074935
5,6.0,Detroit Pistons*,72,,2811,7305,0.385,,,,2811,7305,0.385,1943,2627,0.74,,,4860,1317,,,,1881,7565,0.584238772816297,,1.726274470366751
6,7.0,Philadelphia Warriors,72,,2826,7423,0.381,,,,2826,7423,0.381,1783,2425,0.735,,,4910,1375,,,,1776,7435,0.584238772816297,,1.7157366197372936
7,8.0,Cincinnati Royals,72,,2854,7340,0.389,,,,2854,7340,0.389,1713,2375,0.721,,,4887,1369,,,,1855,7421,0.584238772816297,,1.7197537210982794
8,,League Average,72,,2909,7368,0.395,,,,2909,7368,0.395,1976,2614,0.756,,,5043,1412,,,,1869,7794,0.584238772816297,,1.716416243651904
