Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with Jalen McDaniels,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Grant Williams,Jaden Springer,Jalen McDaniels,James Harden,Joel Embiid,Louis King,Mac McClung,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Grant Williams,co_inf with Jaden Springer,co_inf with Jalen McDaniels,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Louis King,co_inf with Mac McClung,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,33-068,MIA,,CHI,L (-8),0,13:28,5.0,6.0,.833,1.0,1.0,1.000,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,2.0,5.0,11.0,6.8,+5,5.0,4.0,0.8,28,25,12,5,18,20,20,9,21,25,28,9,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142,18,6,7,5,8,4,7,5,7,2,6,8,8,7,6,56.0,77.0,37.0,78.0,79.0,16.0,80.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.1071428571428571,0.0909090909090909,0.1351351351351351,0.1025641025641025,0.0,0.25,0.0875,0.0862068965517241,0.106060606060606,0.0,0.0,0.0,0.0350877192982456,0.08,0.1159420289855072,0.1052631578947368,0.0945945945945946,0.1,31,7.0,71.0,2.290322580645161,6.799999999999999,80.9,2.609677419354839
1,2,2,2022-10-21,33-070,MIA,,BOS,L (-7),0,8:43,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.5,-18,2.0,1.0,0.5,28,25,12,5,18,20,20,9,21,25,28,9,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142,18,6,7,5,8,4,7,5,7,2,6,8,8,7,6,56.0,77.0,37.0,78.0,79.0,16.0,80.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.1071428571428571,0.0909090909090909,0.1351351351351351,0.1025641025641025,0.0,0.25,0.0875,0.0862068965517241,0.106060606060606,0.0,0.0,0.0,0.0350877192982456,0.08,0.1159420289855072,0.1052631578947368,0.0945945945945946,0.1,31,-1.0,82.0,2.6451612903225805,-0.4999999999999998,72.59999999999998,2.341935483870967
2,3,3,2022-10-22,33-071,MIA,,TOR,W (+3),0,12:20,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.9,-2,1.0,1.0,1.0,28,25,12,5,18,20,20,9,21,25,28,9,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142,18,6,7,5,8,4,7,5,7,2,6,8,8,7,6,56.0,77.0,37.0,78.0,79.0,16.0,80.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.1071428571428571,0.0909090909090909,0.1351351351351351,0.1025641025641025,0.0,0.25,0.0875,0.0862068965517241,0.106060606060606,0.0,0.0,0.0,0.0350877192982456,0.08,0.1159420289855072,0.1052631578947368,0.0945945945945946,0.1,31,4.0,84.0,2.7096774193548385,1.9,84.69999999999997,2.7322580645161283
3,4,4,2022-10-24,33-073,MIA,,TOR,L (-8),0,10:19,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,-13,1.0,0.0,0.0,28,25,12,5,18,20,20,9,21,25,28,9,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142,18,6,7,5,8,4,7,5,7,2,6,8,8,7,6,56.0,77.0,37.0,78.0,79.0,16.0,80.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.1071428571428571,0.0909090909090909,0.1351351351351351,0.1025641025641025,0.0,0.25,0.0875,0.0862068965517241,0.106060606060606,0.0,0.0,0.0,0.0350877192982456,0.08,0.1159420289855072,0.1052631578947368,0.0945945945945946,0.1,31,0.0,99.0,3.193548387096774,-0.8,112.19999999999996,3.6193548387096763
4,5,5,2022-10-26,33-075,MIA,@,POR,W (+21),0,5:15,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,+1,1.0,1.0,1.0,28,25,12,5,18,20,20,9,21,25,28,9,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142,18,6,7,5,8,4,7,5,7,2,6,8,8,7,6,56.0,77.0,37.0,78.0,79.0,16.0,80.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.1071428571428571,0.0909090909090909,0.1351351351351351,0.1025641025641025,0.0,0.25,0.0875,0.0862068965517241,0.106060606060606,0.0,0.0,0.0,0.0350877192982456,0.08,0.1159420289855072,0.1052631578947368,0.0945945945945946,0.1,31,2.0,74.0,2.3870967741935485,1.1999999999999995,87.4,2.8193548387096774
5,6,,2022-10-27,33-076,MIA,@,GSW,L (-13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,21,25,28,9,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142,18,6,7,5,8,4,7,5,7,2,6,8,8,7,6,56.0,77.0,37.0,78.0,79.0,16.0,80.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.1071428571428571,0.0909090909090909,0.1351351351351351,0.1025641025641025,0.0,0.25,0.0875,0.0862068965517241,0.106060606060606,0.0,0.0,0.0,0.0350877192982456,0.08,0.1159420289855072,0.1052631578947368,0.0945945945945946,0.1,31,,101.0,3.2580645161290325,0.0,93.7,3.02258064516129
6,7,,2022-10-29,33-078,MIA,@,SAC,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,21,25,28,9,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142,18,6,7,5,8,4,7,5,7,2,6,8,8,7,6,56.0,77.0,37.0,78.0,79.0,16.0,80.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.1071428571428571,0.0909090909090909,0.1351351351351351,0.1025641025641025,0.0,0.25,0.0875,0.0862068965517241,0.106060606060606,0.0,0.0,0.0,0.0350877192982456,0.08,0.1159420289855072,0.1052631578947368,0.0945945945945946,0.1,31,,90.0,2.903225806451613,0.0,93.0,3.0
7,8,6,2022-11-01,33-081,MIA,,GSW,W (+7),0,10:49,2.0,4.0,.500,1.0,3.0,.333,4,4.0,1.000,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,9.0,7.5,+7,1.0,1.0,1.0,28,25,12,5,18,20,20,9,21,25,28,9,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142,18,6,7,5,8,4,7,5,7,2,6,8,8,7,6,56.0,77.0,37.0,78.0,79.0,16.0,80.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.1071428571428571,0.0909090909090909,0.1351351351351351,0.1025641025641025,0.0,0.25,0.0875,0.0862068965517241,0.106060606060606,0.0,0.0,0.0,0.0350877192982456,0.08,0.1159420289855072,0.1052631578947368,0.0945945945945946,0.1,31,5.0,88.0,2.838709677419355,5.9,102.7,3.3129032258064517
8,9,7,2022-11-02,33-082,MIA,,SAC,W (+3),0,15:54,4.0,6.0,.667,2.0,3.0,.667,0,0.0,,2.0,6.0,8.0,3.0,0.0,1.0,1.0,3.0,10.0,11.2,+1,3.0,2.0,0.6666666666666666,28,25,12,5,18,20,20,9,21,25,28,9,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142,18,6,7,5,8,4,7,5,7,2,6,8,8,7,6,56.0,77.0,37.0,78.0,79.0,16.0,80.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.1071428571428571,0.0909090909090909,0.1351351351351351,0.1025641025641025,0.0,0.25,0.0875,0.0862068965517241,0.106060606060606,0.0,0.0,0.0,0.0350877192982456,0.08,0.1159420289855072,0.1052631578947368,0.0945945945945946,0.1,31,15.0,65.0,2.096774193548387,11.2,72.8,2.3483870967741933
9,10,8,2022-11-04,33-084,MIA,@,IND,L (-2),0,14:08,0.0,2.0,.000,0.0,1.0,.000,4,4.0,1.000,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,2.4,-5,1.0,0.0,0.0,28,25,12,5,18,20,20,9,21,25,28,9,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142,18,6,7,5,8,4,7,5,7,2,6,8,8,7,6,56.0,77.0,37.0,78.0,79.0,16.0,80.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.1071428571428571,0.0909090909090909,0.1351351351351351,0.1025641025641025,0.0,0.25,0.0875,0.0862068965517241,0.106060606060606,0.0,0.0,0.0,0.0350877192982456,0.08,0.1159420289855072,0.1052631578947368,0.0945945945945946,0.1,31,1.0,70.0,2.2580645161290325,0.7999999999999992,74.2,2.393548387096774
