Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-09,21-069,POR,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,73.0,4.5625,0.0,75.2,4.7,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,W (+10),W (+10)
12.0,,2022-11-10,21-070,POR,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,69.0,4.3125,0.0,68.99999999999999,4.312499999999999,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,W (+11),W (+11)
13.0,,2022-11-12,21-072,POR,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,90.0,5.625,0.0,76.9,4.80625,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,L (-5),L (-5)
14.0,,2022-11-15,21-075,POR,SAS,Not With Team,0.0,0.0,0.0,Not With Team,,,Not With Team,Not With Team,0.0,Not With Team,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Not With Team,Not With Team,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,81.0,5.0625,0.0,74.10000000000001,4.6312500000000005,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,W (+7),W (+7)
15.0,,2022-11-17,21-077,POR,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,58.0,3.625,0.0,61.400000000000006,3.8375,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,L (-2),L (-2)
16.0,,2022-11-19,21-079,POR,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,77.0,4.8125,0.0,69.30000000000001,4.331250000000001,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,L (-5),L (-5)
17.0,,2022-11-21,21-081,POR,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,50.0,3.125,0.0,55.7,3.48125,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,L (-8),L (-8)
18.0,,2022-11-23,21-083,POR,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,76.0,4.75,0.0,61.2,3.825,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,L (-18),L (-18)
19.0,,2022-11-25,21-085,POR,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,71.0,4.4375,0.0,76.9,4.80625,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,W (+3),W (+3)
20.0,,2022-11-27,21-087,POR,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,66.0,4.125,0.0,60.3,3.76875,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,L (-14),L (-14)
21.0,,2022-11-29,21-089,POR,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,87.0,5.4375,0.0,72.70000000000002,4.543750000000001,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,,
22.0,5.0,2022-11-30,21-090,POR,LAL,0,8.35,0.0,4.0,.000,0.0,2.0,.000,0,0.0,,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,-1.7,-8,2.0,0.0,0.0,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,-2.0,94.0,5.875,-1.7000000000000002,76.60000000000001,4.7875000000000005,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,L (-6),L (-6)
23.0,6.0,2022-12-03,21-093,POR,UTA,0,17.85,2.0,4.0,.500,1.0,3.0,.333,1,1.0,1.000,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,+2,1.0,1.0,1.0,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,5.0,58.0,3.625,3.6,77.9,4.86875,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,L (-19),L (-19)
24.0,7.0,2022-12-04,21-094,POR,IND,0,2.15,0.0,0.0,,0.0,0.0,,1,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,-1,0.0,0.0,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,0.0,83.0,5.1875,0.0999999999999999,79.6,4.975,5.8,-0.1,-8.5,-8.5,0.0,0.0030110764598343,0.421,0.25,0.429,-0.2,-0.3,W (+5),W (+5)
