Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,28-057,POR,SAC,1,25.183333333333334,3.0,9.0,.333,0.0,0.0,,2,2.0,1.000,2.0,5.0,7.0,1.0,2.0,0.0,4.0,1.0,8.0,4.1,-7,9.0,3.0,0.3333333333333333,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,3.0,97.0,4.409090909090909,3.3,105.79999999999998,4.809090909090909,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,W (+7),W (+7)
2.0,2.0,2022-10-21,28-059,POR,PHO,1,35.15,6.0,10.0,.600,0.0,1.0,.000,8,9.0,.889,4.0,13.0,17.0,2.0,1.0,1.0,3.0,4.0,20.0,20.2,0,9.0,6.0,0.6666666666666666,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,19.0,60.0,2.727272727272727,16.999999999999993,69.39999999999999,3.1545454545454543,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,W (+2),W (+2)
3.0,3.0,2022-10-23,28-061,POR,LAL,1,30.016666666666666,2.0,5.0,.400,0.0,0.0,,2,2.0,1.000,3.0,10.0,13.0,4.0,0.0,1.0,2.0,3.0,6.0,8.7,+3,5.0,2.0,0.4,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,15.0,86.0,3.909090909090909,7.899999999999999,88.3,4.013636363636364,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,W (+2),W (+2)
4.0,4.0,2022-10-24,28-062,POR,DEN,1,35.45,4.0,12.0,.333,0.0,1.0,.000,5,7.0,.714,2.0,10.0,12.0,6.0,0.0,1.0,0.0,5.0,13.0,12.7,+26,11.0,4.0,0.3636363636363636,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,13.0,96.0,4.363636363636363,10.7,108.9,4.95,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,W (+25),W (+25)
5.0,5.0,2022-10-26,28-064,POR,MIA,1,25.75,2.0,7.0,.286,0.0,1.0,.000,3,4.0,.750,4.0,5.0,9.0,1.0,1.0,1.0,1.0,2.0,7.0,7.4,-8,6.0,2.0,0.3333333333333333,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,7.0,49.0,2.227272727272727,6.199999999999998,60.900000000000006,2.7681818181818185,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,L (-21),L (-21)
6.0,6.0,2022-10-28,28-066,POR,HOU,1,32.2,12.0,17.0,.706,1.0,1.0,1.000,2,2.0,1.000,3.0,12.0,15.0,1.0,1.0,3.0,4.0,3.0,27.0,24.2,+10,16.0,11.0,0.6875,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,24.0,94.0,4.2727272727272725,23.40000000000001,103.70000000000002,4.713636363636365,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,W (+14),W (+14)
7.0,7.0,2022-11-02,28-071,POR,MEM,1,34.733333333333334,8.0,14.0,.571,3.0,3.0,1.000,4,4.0,1.000,6.0,7.0,13.0,4.0,1.0,0.0,3.0,5.0,23.0,21.5,+12,11.0,5.0,0.4545454545454545,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,20.0,42.0,1.9090909090909087,19.9,48.1,2.1863636363636365,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,L (-5),L (-5)
8.0,8.0,2022-11-04,28-073,POR,PHO,1,24.7,6.0,13.0,.462,2.0,2.0,1.000,0,0.0,,5.0,3.0,8.0,3.0,1.0,0.0,2.0,1.0,14.0,12.4,-3,11.0,4.0,0.3636363636363636,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,11.0,77.0,3.5,12.4,75.2,3.4181818181818184,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,W (+2),W (+2)
9.0,9.0,2022-11-05,28-074,POR,PHO,1,22.75,4.0,8.0,.500,0.0,1.0,.000,0,0.0,,1.0,6.0,7.0,0.0,0.0,1.0,4.0,4.0,8.0,1.6,-1,7.0,4.0,0.5714285714285714,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,4.0,36.0,1.6363636363636365,1.599999999999998,38.3,1.7409090909090907,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,L (-20),L (-20)
10.0,10.0,2022-11-07,28-076,POR,MIA,1,28.65,1.0,2.0,.500,0.0,1.0,.000,2,2.0,1.000,1.0,10.0,11.0,3.0,2.0,0.0,2.0,3.0,4.0,7.6,-11,1.0,1.0,1.0,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,14.0,53.0,2.409090909090909,6.800000000000001,71.10000000000001,3.2318181818181824,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,W (+3),W (+3)
