Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Anfernee Simons,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Jabari Walker,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Kevin Knox,Shared Games with Matisse Thybulle,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Greg Brown III,Jabari Walker,Jayson Tatum,Jeenathan Williams,Jerami Grant,John Butler,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Kevin Knox,Matisse Thybulle,Nassir Little,Shaedon Sharpe,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jayson Tatum,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Kevin Knox,co_inf with Matisse Thybulle,co_inf with Nassir Little,co_inf with Shaedon Sharpe,co_inf with Skylar Mays,co_inf with Trendon Watford,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,28-207,NYK,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,8,5,11,11,10,11,11,11,7,7,9,9,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,32.0,3.0,0.35,,0.2962962962962963,0.1851851851851851,,0.1358024691358024,0.1341463414634146,0.1470588235294117,0.2115384615384615,0.1428571428571428,0.171875,0.1186440677966101,0.1044776119402985,0.1267605633802817,0.1232876712328767,0.3125,0.3333333333333333,3,3,4,9,8,1,5,2,7,9,9,9,9,7,62.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,71.0,54.0,80.0,6,62.0,0.0483870967741935,0.0,0.0689655172413793,0.1153846153846153,0.0,0.1428571428571428,0.0,0.0,0.0158730158730158,0.2631578947368421,0.0,0.0,0.0384615384615384,0.175,0.1428571428571428,0.1267605633802817,0.1666666666666666,0.1125,0.0,0.1129032258064516,29,,100.0,3.4482758620689653,0.0,68.6,2.36551724137931,2.7,-0.2,-8.8,-7.3,-1.5,0.0024733842348639,0.351,0.622,0.0,-0.3,-0.2,L (-3),L (-3)
2.0,1.0,2022-10-21,28-209,NYK,DET,0,1.8166666666666669,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0,0.0,0.0,,14,8,5,11,11,10,11,11,11,7,7,9,9,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,32.0,3.0,0.35,,0.2962962962962963,0.1851851851851851,,0.1358024691358024,0.1341463414634146,0.1470588235294117,0.2115384615384615,0.1428571428571428,0.171875,0.1186440677966101,0.1044776119402985,0.1267605633802817,0.1232876712328767,0.3125,0.3333333333333333,3,3,4,9,8,1,5,2,7,9,9,9,9,7,62.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,71.0,54.0,80.0,6,62.0,0.0483870967741935,0.0,0.0689655172413793,0.1153846153846153,0.0,0.1428571428571428,0.0,0.0,0.0158730158730158,0.2631578947368421,0.0,0.0,0.0384615384615384,0.175,0.1428571428571428,0.1267605633802817,0.1666666666666666,0.1125,0.0,0.1129032258064516,29,0.0,79.0,2.7241379310344827,-0.4,58.79999999999999,2.027586206896552,2.7,-0.2,-8.8,-7.3,-1.5,0.0024733842348639,0.351,0.622,0.0,-0.3,-0.2,W (+24),W (+24)
3.0,,2022-10-24,28-212,NYK,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,8,5,11,11,10,11,11,11,7,7,9,9,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,32.0,3.0,0.35,,0.2962962962962963,0.1851851851851851,,0.1358024691358024,0.1341463414634146,0.1470588235294117,0.2115384615384615,0.1428571428571428,0.171875,0.1186440677966101,0.1044776119402985,0.1267605633802817,0.1232876712328767,0.3125,0.3333333333333333,3,3,4,9,8,1,5,2,7,9,9,9,9,7,62.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,71.0,54.0,80.0,6,62.0,0.0483870967741935,0.0,0.0689655172413793,0.1153846153846153,0.0,0.1428571428571428,0.0,0.0,0.0158730158730158,0.2631578947368421,0.0,0.0,0.0384615384615384,0.175,0.1428571428571428,0.1267605633802817,0.1666666666666666,0.1125,0.0,0.1129032258064516,29,,101.0,3.4827586206896552,0.0,53.60000000000001,1.8482758620689657,2.7,-0.2,-8.8,-7.3,-1.5,0.0024733842348639,0.351,0.622,0.0,-0.3,-0.2,W (+13),W (+13)
4.0,,2022-10-26,28-214,NYK,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,8,5,11,11,10,11,11,11,7,7,9,9,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,32.0,3.0,0.35,,0.2962962962962963,0.1851851851851851,,0.1358024691358024,0.1341463414634146,0.1470588235294117,0.2115384615384615,0.1428571428571428,0.171875,0.1186440677966101,0.1044776119402985,0.1267605633802817,0.1232876712328767,0.3125,0.3333333333333333,3,3,4,9,8,1,5,2,7,9,9,9,9,7,62.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,71.0,54.0,80.0,6,62.0,0.0483870967741935,0.0,0.0689655172413793,0.1153846153846153,0.0,0.1428571428571428,0.0,0.0,0.0158730158730158,0.2631578947368421,0.0,0.0,0.0384615384615384,0.175,0.1428571428571428,0.1267605633802817,0.1666666666666666,0.1125,0.0,0.1129032258064516,29,,109.0,3.7586206896551726,0.0,102.3,3.527586206896552,2.7,-0.2,-8.8,-7.3,-1.5,0.0024733842348639,0.351,0.622,0.0,-0.3,-0.2,W (+3),W (+3)
5.0,,2022-10-28,28-216,NYK,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,8,5,11,11,10,11,11,11,7,7,9,9,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,32.0,3.0,0.35,,0.2962962962962963,0.1851851851851851,,0.1358024691358024,0.1341463414634146,0.1470588235294117,0.2115384615384615,0.1428571428571428,0.171875,0.1186440677966101,0.1044776119402985,0.1267605633802817,0.1232876712328767,0.3125,0.3333333333333333,3,3,4,9,8,1,5,2,7,9,9,9,9,7,62.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,71.0,54.0,80.0,6,62.0,0.0483870967741935,0.0,0.0689655172413793,0.1153846153846153,0.0,0.1428571428571428,0.0,0.0,0.0158730158730158,0.2631578947368421,0.0,0.0,0.0384615384615384,0.175,0.1428571428571428,0.1267605633802817,0.1666666666666666,0.1125,0.0,0.1129032258064516,29,,56.0,1.9310344827586208,0.0,39.5,1.362068965517241,2.7,-0.2,-8.8,-7.3,-1.5,0.0024733842348639,0.351,0.622,0.0,-0.3,-0.2,L (-11),L (-11)
6.0,,2022-10-30,28-218,NYK,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,8,5,11,11,10,11,11,11,7,7,9,9,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,32.0,3.0,0.35,,0.2962962962962963,0.1851851851851851,,0.1358024691358024,0.1341463414634146,0.1470588235294117,0.2115384615384615,0.1428571428571428,0.171875,0.1186440677966101,0.1044776119402985,0.1267605633802817,0.1232876712328767,0.3125,0.3333333333333333,3,3,4,9,8,1,5,2,7,9,9,9,9,7,62.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,71.0,54.0,80.0,6,62.0,0.0483870967741935,0.0,0.0689655172413793,0.1153846153846153,0.0,0.1428571428571428,0.0,0.0,0.0158730158730158,0.2631578947368421,0.0,0.0,0.0384615384615384,0.175,0.1428571428571428,0.1267605633802817,0.1666666666666666,0.1125,0.0,0.1129032258064516,29,,118.0,4.068965517241379,0.0,95.5,3.293103448275862,2.7,-0.2,-8.8,-7.3,-1.5,0.0024733842348639,0.351,0.622,0.0,-0.3,-0.2,L (-13),L (-13)
7.0,,2022-11-02,28-221,NYK,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,8,5,11,11,10,11,11,11,7,7,9,9,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,32.0,3.0,0.35,,0.2962962962962963,0.1851851851851851,,0.1358024691358024,0.1341463414634146,0.1470588235294117,0.2115384615384615,0.1428571428571428,0.171875,0.1186440677966101,0.1044776119402985,0.1267605633802817,0.1232876712328767,0.3125,0.3333333333333333,3,3,4,9,8,1,5,2,7,9,9,9,9,7,62.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,71.0,54.0,80.0,6,62.0,0.0483870967741935,0.0,0.0689655172413793,0.1153846153846153,0.0,0.1428571428571428,0.0,0.0,0.0158730158730158,0.2631578947368421,0.0,0.0,0.0384615384615384,0.175,0.1428571428571428,0.1267605633802817,0.1666666666666666,0.1125,0.0,0.1129032258064516,29,,62.0,2.1379310344827585,0.0,62.99999999999999,2.172413793103448,2.7,-0.2,-8.8,-7.3,-1.5,0.0024733842348639,0.351,0.622,0.0,-0.3,-0.2,L (-13),L (-13)
8.0,,2022-11-04,28-223,NYK,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,8,5,11,11,10,11,11,11,7,7,9,9,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,32.0,3.0,0.35,,0.2962962962962963,0.1851851851851851,,0.1358024691358024,0.1341463414634146,0.1470588235294117,0.2115384615384615,0.1428571428571428,0.171875,0.1186440677966101,0.1044776119402985,0.1267605633802817,0.1232876712328767,0.3125,0.3333333333333333,3,3,4,9,8,1,5,2,7,9,9,9,9,7,62.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,71.0,54.0,80.0,6,62.0,0.0483870967741935,0.0,0.0689655172413793,0.1153846153846153,0.0,0.1428571428571428,0.0,0.0,0.0158730158730158,0.2631578947368421,0.0,0.0,0.0384615384615384,0.175,0.1428571428571428,0.1267605633802817,0.1666666666666666,0.1125,0.0,0.1129032258064516,29,,88.0,3.034482758620689,0.0,74.4,2.5655172413793106,2.7,-0.2,-8.8,-7.3,-1.5,0.0024733842348639,0.351,0.622,0.0,-0.3,-0.2,W (+2),W (+2)
9.0,,2022-11-05,28-224,NYK,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,8,5,11,11,10,11,11,11,7,7,9,9,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,32.0,3.0,0.35,,0.2962962962962963,0.1851851851851851,,0.1358024691358024,0.1341463414634146,0.1470588235294117,0.2115384615384615,0.1428571428571428,0.171875,0.1186440677966101,0.1044776119402985,0.1267605633802817,0.1232876712328767,0.3125,0.3333333333333333,3,3,4,9,8,1,5,2,7,9,9,9,9,7,62.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,71.0,54.0,80.0,6,62.0,0.0483870967741935,0.0,0.0689655172413793,0.1153846153846153,0.0,0.1428571428571428,0.0,0.0,0.0158730158730158,0.2631578947368421,0.0,0.0,0.0384615384615384,0.175,0.1428571428571428,0.1267605633802817,0.1666666666666666,0.1125,0.0,0.1129032258064516,29,,40.0,1.3793103448275863,0.0,37.9,1.306896551724138,2.7,-0.2,-8.8,-7.3,-1.5,0.0024733842348639,0.351,0.622,0.0,-0.3,-0.2,L (-15),L (-15)
10.0,2.0,2022-11-07,28-226,NYK,MIN,0,0.85,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,,14,8,5,11,11,10,11,11,11,7,7,9,9,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,32.0,3.0,0.35,,0.2962962962962963,0.1851851851851851,,0.1358024691358024,0.1341463414634146,0.1470588235294117,0.2115384615384615,0.1428571428571428,0.171875,0.1186440677966101,0.1044776119402985,0.1267605633802817,0.1232876712328767,0.3125,0.3333333333333333,3,3,4,9,8,1,5,2,7,9,9,9,9,7,62.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,71.0,54.0,80.0,6,62.0,0.0483870967741935,0.0,0.0689655172413793,0.1153846153846153,0.0,0.1428571428571428,0.0,0.0,0.0158730158730158,0.2631578947368421,0.0,0.0,0.0384615384615384,0.175,0.1428571428571428,0.1267605633802817,0.1666666666666666,0.1125,0.0,0.1129032258064516,29,0.0,67.0,2.310344827586207,0.0,66.9,2.306896551724138,2.7,-0.2,-8.8,-7.3,-1.5,0.0024733842348639,0.351,0.622,0.0,-0.3,-0.2,W (+13),W (+13)
