Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,27-321,OKC,@,MIN,L (-7),1,22:01,2.0,7.0,.286,1.0,3.0,.333,0,0.0,,2.0,4.0,6.0,1.0,0.0,0.0,0.0,3.0,5.0,3.0,-13,4.0,1.0,0.25,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,5.0,50.0,2.9411764705882355,2.9999999999999982,59.69999999999998,3.511764705882352
1,2,2,2022-10-22,27-324,OKC,@,DEN,L (-5),0,16:04,1.0,2.0,.500,0.0,0.0,,1,1.0,1.000,2.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,4.6,+2,2.0,1.0,0.5,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,6.0,48.0,2.823529411764706,4.199999999999998,59.89999999999999,3.5235294117647054
2,3,3,2022-10-23,27-325,OKC,,MIN,L (-10),1,18:23,3.0,8.0,.375,0.0,2.0,.000,0,2.0,.000,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0,2.1,-9,6.0,3.0,0.5,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,-1.0,39.0,2.294117647058824,2.1000000000000005,52.3,3.076470588235294
3,4,4,2022-10-25,27-327,OKC,,LAC,W (+14),0,25:25,5.0,8.0,.625,0.0,2.0,.000,0,0.0,,4.0,3.0,7.0,2.0,0.0,1.0,0.0,2.0,10.0,11.4,-9,6.0,5.0,0.8333333333333334,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,12.0,41.0,2.411764705882353,11.4,56.80000000000001,3.341176470588236
4,5,5,2022-10-27,27-329,OKC,,LAC,W (+8),0,25:57,5.0,8.0,.625,2.0,4.0,.500,0,0.0,,1.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,12.0,12.8,-9,4.0,3.0,0.75,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,10.0,59.0,3.4705882352941178,12.799999999999995,69.89999999999999,4.1117647058823525
5,6,6,2022-10-29,27-331,OKC,@,DAL,W (+6),0,17:32,1.0,2.0,.500,1.0,1.0,1.000,0,0.0,,2.0,4.0,6.0,0.0,0.0,1.0,2.0,2.0,3.0,2.5,-25,1.0,0.0,0.0,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,6.0,58.0,3.411764705882353,2.500000000000001,73.2,4.305882352941176
6,7,,2022-11-01,27-334,OKC,,ORL,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,,74.0,4.352941176470588,0.0,90.9,5.347058823529412
7,8,7,2022-11-03,27-336,OKC,,DEN,L (-12),0,22:08,2.0,5.0,.400,1.0,2.0,.500,0,0.0,,3.0,3.0,6.0,1.0,1.0,0.0,0.0,2.0,5.0,6.2,-4,3.0,1.0,0.3333333333333333,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,8.0,48.0,2.823529411764706,6.199999999999998,71.60000000000001,4.211764705882353
8,9,8,2022-11-05,27-338,OKC,@,MIL,L (-14),0,16:53,1.0,3.0,.333,0.0,2.0,.000,1,2.0,.500,1.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,2.7,+4,1.0,1.0,1.0,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,3.0,43.0,2.5294117647058822,2.3,51.5,3.0294117647058822
9,10,9,2022-11-07,27-340,OKC,@,DET,L (-9),0,26:25,5.0,8.0,.625,1.0,3.0,.333,0,2.0,.000,6.0,2.0,8.0,4.0,1.0,0.0,0.0,3.0,11.0,14.0,+11,5.0,4.0,0.8,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,14.0,33.0,1.9411764705882355,14.0,44.2,2.6
