Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,25-083,OKC,@,MIN,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,38,10,9,14,36,36,30,17,38,24,39,19,17,33,27,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,74.0,63.0,39.0,68.0,67.0,0.5428571428571428,0.2941176470588235,,0.2093023255813953,0.35,0.4931506849315068,0.48,0.0,0.6122448979591837,0.3953488372093023,0.5,0.4528301886792453,0.527027027027027,0.3015873015873015,0.4358974358974359,0.4852941176470588,0.4029850746268656,15,6,,57.0,9.0,,0.2631578947368421,0.6666666666666666,17,,55.0,3.235294117647059,0.0,62.69999999999998,3.688235294117646
1,2,1,2022-10-22,25-086,OKC,@,DEN,L (-5),0,2:19,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1,0.0,0.0,,38,10,9,14,36,36,30,17,38,24,39,19,17,33,27,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,74.0,63.0,39.0,68.0,67.0,0.5428571428571428,0.2941176470588235,,0.2093023255813953,0.35,0.4931506849315068,0.48,0.0,0.6122448979591837,0.3953488372093023,0.5,0.4528301886792453,0.527027027027027,0.3015873015873015,0.4358974358974359,0.4852941176470588,0.4029850746268656,15,6,,57.0,9.0,,0.2631578947368421,0.6666666666666666,17,1.0,53.0,3.117647058823529,0.3,63.79999999999998,3.7529411764705873
2,3,2,2022-10-23,25-087,OKC,,MIN,L (-10),0,13:42,1.0,6.0,.167,1.0,6.0,.167,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.1,+3,0.0,0.0,,38,10,9,14,36,36,30,17,38,24,39,19,17,33,27,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,74.0,63.0,39.0,68.0,67.0,0.5428571428571428,0.2941176470588235,,0.2093023255813953,0.35,0.4931506849315068,0.48,0.0,0.6122448979591837,0.3953488372093023,0.5,0.4528301886792453,0.527027027027027,0.3015873015873015,0.4358974358974359,0.4852941176470588,0.4029850746268656,15,6,,57.0,9.0,,0.2631578947368421,0.6666666666666666,17,-2.0,40.0,2.3529411764705883,-0.0999999999999996,54.50000000000001,3.205882352941177
3,4,,2022-10-25,25-089,OKC,,LAC,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,38,10,9,14,36,36,30,17,38,24,39,19,17,33,27,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,74.0,63.0,39.0,68.0,67.0,0.5428571428571428,0.2941176470588235,,0.2093023255813953,0.35,0.4931506849315068,0.48,0.0,0.6122448979591837,0.3953488372093023,0.5,0.4528301886792453,0.527027027027027,0.3015873015873015,0.4358974358974359,0.4852941176470588,0.4029850746268656,15,6,,57.0,9.0,,0.2631578947368421,0.6666666666666666,17,,53.0,3.117647058823529,0.0,68.2,4.011764705882353
4,5,,2022-10-27,25-091,OKC,,LAC,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,38,10,9,14,36,36,30,17,38,24,39,19,17,33,27,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,74.0,63.0,39.0,68.0,67.0,0.5428571428571428,0.2941176470588235,,0.2093023255813953,0.35,0.4931506849315068,0.48,0.0,0.6122448979591837,0.3953488372093023,0.5,0.4528301886792453,0.527027027027027,0.3015873015873015,0.4358974358974359,0.4852941176470588,0.4029850746268656,15,6,,57.0,9.0,,0.2631578947368421,0.6666666666666666,17,,69.0,4.0588235294117645,0.0,82.7,4.864705882352942
5,6,,2022-10-29,25-093,OKC,@,DAL,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,38,10,9,14,36,36,30,17,38,24,39,19,17,33,27,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,74.0,63.0,39.0,68.0,67.0,0.5428571428571428,0.2941176470588235,,0.2093023255813953,0.35,0.4931506849315068,0.48,0.0,0.6122448979591837,0.3953488372093023,0.5,0.4528301886792453,0.527027027027027,0.3015873015873015,0.4358974358974359,0.4852941176470588,0.4029850746268656,15,6,,57.0,9.0,,0.2631578947368421,0.6666666666666666,17,,64.0,3.764705882352941,0.0,75.7,4.452941176470588
6,7,,2022-11-01,25-096,OKC,,ORL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,38,10,9,14,36,36,30,17,38,24,39,19,17,33,27,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,74.0,63.0,39.0,68.0,67.0,0.5428571428571428,0.2941176470588235,,0.2093023255813953,0.35,0.4931506849315068,0.48,0.0,0.6122448979591837,0.3953488372093023,0.5,0.4528301886792453,0.527027027027027,0.3015873015873015,0.4358974358974359,0.4852941176470588,0.4029850746268656,15,6,,57.0,9.0,,0.2631578947368421,0.6666666666666666,17,,74.0,4.352941176470588,0.0,90.9,5.347058823529412
7,8,,2022-11-03,25-098,OKC,,DEN,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,38,10,9,14,36,36,30,17,38,24,39,19,17,33,27,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,74.0,63.0,39.0,68.0,67.0,0.5428571428571428,0.2941176470588235,,0.2093023255813953,0.35,0.4931506849315068,0.48,0.0,0.6122448979591837,0.3953488372093023,0.5,0.4528301886792453,0.527027027027027,0.3015873015873015,0.4358974358974359,0.4852941176470588,0.4029850746268656,15,6,,57.0,9.0,,0.2631578947368421,0.6666666666666666,17,,56.0,3.294117647058824,0.0,77.8,4.576470588235294
8,9,,2022-11-05,25-100,OKC,@,MIL,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,38,10,9,14,36,36,30,17,38,24,39,19,17,33,27,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,74.0,63.0,39.0,68.0,67.0,0.5428571428571428,0.2941176470588235,,0.2093023255813953,0.35,0.4931506849315068,0.48,0.0,0.6122448979591837,0.3953488372093023,0.5,0.4528301886792453,0.527027027027027,0.3015873015873015,0.4358974358974359,0.4852941176470588,0.4029850746268656,15,6,,57.0,9.0,,0.2631578947368421,0.6666666666666666,17,,46.0,2.7058823529411766,0.0,53.80000000000001,3.164705882352942
9,10,,2022-11-07,25-102,OKC,@,DET,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,38,10,9,14,36,36,30,17,38,24,39,19,17,33,27,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,74.0,63.0,39.0,68.0,67.0,0.5428571428571428,0.2941176470588235,,0.2093023255813953,0.35,0.4931506849315068,0.48,0.0,0.6122448979591837,0.3953488372093023,0.5,0.4528301886792453,0.527027027027027,0.3015873015873015,0.4358974358974359,0.4852941176470588,0.4029850746268656,15,6,,57.0,9.0,,0.2631578947368421,0.6666666666666666,17,,47.0,2.764705882352941,0.0,58.2,3.423529411764706
