Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2022-11-09,19-075,NYK,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,41.0,2.5625,0.0,45.6,2.85,0.000315324784528,L (-27),L (-27)
12.0,,2022-11-11,19-077,NYK,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,76.0,4.75,0.0,94.3,5.89375,0.000315324784528,W (+9),W (+9)
13.0,,2022-11-13,19-079,NYK,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,69.0,4.3125,0.0,76.10000000000001,4.7562500000000005,0.000315324784528,L (-10),L (-10)
14.0,,2022-11-15,19-081,NYK,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,84.0,5.25,0.0,85.69999999999999,5.356249999999999,0.000315324784528,W (+7),W (+7)
15.0,,2022-11-16,19-082,NYK,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,73.0,4.5625,0.0,82.69999999999999,5.168749999999999,0.000315324784528,W (+3),W (+3)
16.0,,2022-11-18,19-084,NYK,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,57.0,3.5625,0.0,66.2,4.1375,0.000315324784528,L (-10),L (-10)
17.0,,2022-11-20,19-086,NYK,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,69.0,4.3125,0.0,78.19999999999999,4.887499999999999,0.000315324784528,L (-21),L (-21)
18.0,,2022-11-21,19-087,NYK,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,101.0,6.3125,0.0,103.5,6.46875,0.000315324784528,W (+10),W (+10)
19.0,,2022-11-25,19-091,NYK,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,93.0,5.8125,0.0,98.0,6.125,0.000315324784528,L (-3),L (-3)
20.0,,2022-11-27,19-093,NYK,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,85.0,5.3125,0.0,94.9,5.93125,0.000315324784528,L (-4),L (-4)
21.0,,2022-11-29,19-095,NYK,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,123.0,7.6875,0.0,128.7,8.04375,0.000315324784528,,
22.0,,2022-11-30,19-096,NYK,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,60.0,3.75,0.0,66.39999999999999,4.15,0.000315324784528,W (+30),W (+30)
23.0,,2022-12-03,19-099,NYK,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,62.0,3.875,0.0,62.89999999999999,3.93125,0.000315324784528,L (-6),L (-6)
24.0,,2022-12-04,19-100,NYK,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,62.0,3.875,0.0,67.49999999999999,4.218749999999999,0.000315324784528,L (-21),L (-21)
25.0,,2022-12-07,19-103,NYK,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,103.0,6.4375,0.0,93.0,5.8125,0.000315324784528,W (+11),W (+11)
26.0,,2022-12-09,19-105,NYK,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,108.0,6.75,0.0,102.9,6.43125,0.000315324784528,W (+24),W (+24)
27.0,,2022-12-11,19-107,NYK,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,95.0,5.9375,0.0,86.10000000000002,5.381250000000001,0.000315324784528,W (+19),W (+19)
28.0,,2022-12-14,19-110,NYK,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,99.0,6.1875,0.0,101.7,6.35625,0.000315324784528,W (+13),W (+13)
29.0,,2022-12-16,19-112,NYK,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,73.0,4.5625,0.0,89.80000000000001,5.612500000000001,0.000315324784528,W (+8),W (+8)
30.0,,2022-12-18,19-114,NYK,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,75.0,4.6875,0.0,88.2,5.5125,0.000315324784528,W (+23),W (+23)
31.0,,2022-12-20,19-116,NYK,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,96.0,6.0,0.0,114.0,7.125,0.000315324784528,W (+3),W (+3)
32.0,,2022-12-21,19-117,NYK,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,78.0,4.875,0.0,82.0,5.125,0.000315324784528,W (+38),W (+38)
