Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Trevor Keels,Blake Griffin,DaQuan Jeffries,Derrick Rose,Duane Washington Jr.,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Isaiah Roby,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Trevor Keels,co_inf with Blake Griffin,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Duane Washington Jr.,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Isaiah Roby,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Trevor Keels,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,27-227,POR,SAC,1,38.3,8.0,11.0,.727,0.0,0.0,,3,3.0,1.000,0.0,7.0,7.0,5.0,1.0,0.0,2.0,3.0,19.0,17.9,-1,11.0,8.0,0.7272727272727273,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,50,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581,33,1,4,25,25,16,9,21,19,20,25,25,23,2,41.0,,27.0,31.0,27.0,,81.0,82.0,42.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.037037037037037,0.0,0.1481481481481481,,0.3086419753086419,0.3048780487804878,0.0,0.2352941176470588,0.173076923076923,0.2727272727272727,0.296875,0.3389830508474576,0.373134328358209,0.352112676056338,0.3150684931506849,0.6666666666666666,32,16.0,63.0,1.96875,16.700000000000003,59.70000000000001,1.8656250000000003,14.1,6.0,0.9,-0.2,1.1,0.0523712227121195,0.622,0.315,0.338,1.8,3.8,W (+7),W (+7)
2.0,2.0,2022-10-21,27-229,POR,PHO,1,40.98333333333333,3.0,9.0,.333,1.0,2.0,.500,3,4.0,.750,3.0,4.0,7.0,3.0,2.0,0.0,1.0,3.0,10.0,9.7,-3,7.0,2.0,0.2857142857142857,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,50,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581,33,1,4,25,25,16,9,21,19,20,25,25,23,2,41.0,,27.0,31.0,27.0,,81.0,82.0,42.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.037037037037037,0.0,0.1481481481481481,,0.3086419753086419,0.3048780487804878,0.0,0.2352941176470588,0.173076923076923,0.2727272727272727,0.296875,0.3389830508474576,0.373134328358209,0.352112676056338,0.3150684931506849,0.6666666666666666,32,8.0,86.0,2.6875,8.5,97.7,3.053125,14.1,6.0,0.9,-0.2,1.1,0.0523712227121195,0.622,0.315,0.338,1.8,3.8,W (+2),W (+2)
3.0,3.0,2022-10-23,27-231,POR,LAL,1,36.45,3.0,5.0,.600,1.0,1.0,1.000,2,2.0,1.000,2.0,14.0,16.0,5.0,2.0,0.0,3.0,2.0,9.0,14.0,-4,4.0,2.0,0.5,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,50,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581,33,1,4,25,25,16,9,21,19,20,25,25,23,2,41.0,,27.0,31.0,27.0,,81.0,82.0,42.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.037037037037037,0.0,0.1481481481481481,,0.3086419753086419,0.3048780487804878,0.0,0.2352941176470588,0.173076923076923,0.2727272727272727,0.296875,0.3389830508474576,0.373134328358209,0.352112676056338,0.3150684931506849,0.6666666666666666,32,22.0,70.0,2.1875,13.2,77.0,2.40625,14.1,6.0,0.9,-0.2,1.1,0.0523712227121195,0.622,0.315,0.338,1.8,3.8,W (+2),W (+2)
4.0,4.0,2022-10-24,27-232,POR,DEN,1,34.5,3.0,7.0,.429,0.0,2.0,.000,0,1.0,.000,4.0,7.0,11.0,1.0,0.0,0.0,1.0,1.0,6.0,6.1,+20,5.0,3.0,0.6,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,50,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581,33,1,4,25,25,16,9,21,19,20,25,25,23,2,41.0,,27.0,31.0,27.0,,81.0,82.0,42.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.037037037037037,0.0,0.1481481481481481,,0.3086419753086419,0.3048780487804878,0.0,0.2352941176470588,0.173076923076923,0.2727272727272727,0.296875,0.3389830508474576,0.373134328358209,0.352112676056338,0.3150684931506849,0.6666666666666666,32,9.0,93.0,2.90625,6.099999999999999,101.5,3.171875,14.1,6.0,0.9,-0.2,1.1,0.0523712227121195,0.622,0.315,0.338,1.8,3.8,W (+25),W (+25)
5.0,5.0,2022-10-26,27-234,POR,MIA,1,31.48333333333333,3.0,4.0,.750,1.0,1.0,1.000,3,3.0,1.000,2.0,4.0,6.0,6.0,3.0,1.0,2.0,2.0,10.0,16.1,-15,3.0,2.0,0.6666666666666666,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,50,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581,33,1,4,25,25,16,9,21,19,20,25,25,23,2,41.0,,27.0,31.0,27.0,,81.0,82.0,42.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.037037037037037,0.0,0.1481481481481481,,0.3086419753086419,0.3048780487804878,0.0,0.2352941176470588,0.173076923076923,0.2727272727272727,0.296875,0.3389830508474576,0.373134328358209,0.352112676056338,0.3150684931506849,0.6666666666666666,32,17.0,58.0,1.8125,14.899999999999997,69.3,2.165625,14.1,6.0,0.9,-0.2,1.1,0.0523712227121195,0.622,0.315,0.338,1.8,3.8,L (-21),L (-21)
6.0,6.0,2022-10-28,27-236,POR,HOU,1,33.8,3.0,8.0,.375,0.0,2.0,.000,3,3.0,1.000,2.0,6.0,8.0,4.0,0.0,0.0,1.0,1.0,9.0,9.2,+10,6.0,3.0,0.5,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,50,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581,33,1,4,25,25,16,9,21,19,20,25,25,23,2,41.0,,27.0,31.0,27.0,,81.0,82.0,42.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.037037037037037,0.0,0.1481481481481481,,0.3086419753086419,0.3048780487804878,0.0,0.2352941176470588,0.173076923076923,0.2727272727272727,0.296875,0.3389830508474576,0.373134328358209,0.352112676056338,0.3150684931506849,0.6666666666666666,32,9.0,66.0,2.0625,7.999999999999998,73.09999999999998,2.2843749999999994,14.1,6.0,0.9,-0.2,1.1,0.0523712227121195,0.622,0.315,0.338,1.8,3.8,W (+14),W (+14)
7.0,7.0,2022-11-02,27-241,POR,MEM,1,39.61666666666667,1.0,4.0,.250,0.0,1.0,.000,3,5.0,.600,2.0,4.0,6.0,4.0,1.0,1.0,3.0,4.0,5.0,4.3,-8,3.0,1.0,0.3333333333333333,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,50,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581,33,1,4,25,25,16,9,21,19,20,25,25,23,2,41.0,,27.0,31.0,27.0,,81.0,82.0,42.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.037037037037037,0.0,0.1481481481481481,,0.3086419753086419,0.3048780487804878,0.0,0.2352941176470588,0.173076923076923,0.2727272727272727,0.296875,0.3389830508474576,0.373134328358209,0.352112676056338,0.3150684931506849,0.6666666666666666,32,5.0,60.0,1.875,3.1,61.8,1.93125,14.1,6.0,0.9,-0.2,1.1,0.0523712227121195,0.622,0.315,0.338,1.8,3.8,L (-5),L (-5)
8.0,8.0,2022-11-04,27-243,POR,PHO,1,38.28333333333333,3.0,7.0,.429,1.0,2.0,.500,0,0.0,,1.0,8.0,9.0,6.0,0.0,0.0,3.0,3.0,7.0,6.4,0,5.0,2.0,0.4,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,50,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581,33,1,4,25,25,16,9,21,19,20,25,25,23,2,41.0,,27.0,31.0,27.0,,81.0,82.0,42.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.037037037037037,0.0,0.1481481481481481,,0.3086419753086419,0.3048780487804878,0.0,0.2352941176470588,0.173076923076923,0.2727272727272727,0.296875,0.3389830508474576,0.373134328358209,0.352112676056338,0.3150684931506849,0.6666666666666666,32,12.0,55.0,1.71875,6.399999999999999,59.399999999999984,1.8562499999999995,14.1,6.0,0.9,-0.2,1.1,0.0523712227121195,0.622,0.315,0.338,1.8,3.8,W (+2),W (+2)
9.0,9.0,2022-11-05,27-244,POR,PHO,1,32.11666666666667,1.0,6.0,.167,1.0,1.0,1.000,1,2.0,.500,1.0,6.0,7.0,8.0,1.0,0.0,0.0,3.0,4.0,7.7,-18,5.0,0.0,0.0,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,50,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581,33,1,4,25,25,16,9,21,19,20,25,25,23,2,41.0,,27.0,31.0,27.0,,81.0,82.0,42.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.037037037037037,0.0,0.1481481481481481,,0.3086419753086419,0.3048780487804878,0.0,0.2352941176470588,0.173076923076923,0.2727272727272727,0.296875,0.3389830508474576,0.373134328358209,0.352112676056338,0.3150684931506849,0.6666666666666666,32,12.0,74.0,2.3125,7.3,88.49999999999999,2.765625,14.1,6.0,0.9,-0.2,1.1,0.0523712227121195,0.622,0.315,0.338,1.8,3.8,L (-20),L (-20)
10.0,10.0,2022-11-07,27-246,POR,MIA,1,36.85,3.0,5.0,.600,1.0,3.0,.333,5,7.0,.714,0.0,9.0,9.0,8.0,2.0,0.0,5.0,3.0,12.0,13.0,+13,2.0,2.0,1.0,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,50,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581,33,1,4,25,25,16,9,21,19,20,25,25,23,2,41.0,,27.0,31.0,27.0,,81.0,82.0,42.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.037037037037037,0.0,0.1481481481481481,,0.3086419753086419,0.3048780487804878,0.0,0.2352941176470588,0.173076923076923,0.2727272727272727,0.296875,0.3389830508474576,0.373134328358209,0.352112676056338,0.3150684931506849,0.6666666666666666,32,14.0,79.0,2.46875,11.0,84.9,2.653125,14.1,6.0,0.9,-0.2,1.1,0.0523712227121195,0.622,0.315,0.338,1.8,3.8,W (+3),W (+3)
