Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,34-015,NYK,MEM,0,12.05,2.0,8.0,.250,0.0,3.0,.000,0,0.0,,1.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,4.0,1.9,-4,5.0,2.0,0.4,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,2.0,77.0,4.529411764705882,1.9000000000000004,74.5,4.382352941176471,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-3),L (-3)
2.0,2.0,2022-10-21,34-017,NYK,DET,0,16.216666666666665,4.0,6.0,.667,3.0,4.0,.750,2,2.0,1.000,0.0,3.0,3.0,6.0,0.0,0.0,2.0,2.0,13.0,12.7,+23,2.0,1.0,0.5,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,12.0,82.0,4.823529411764706,11.9,94.29999999999998,5.547058823529411,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,W (+24),W (+24)
3.0,3.0,2022-10-24,34-020,NYK,ORL,0,8.716666666666667,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.2,-10,1.0,0.0,0.0,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,-1.0,93.0,5.470588235294118,0.2,90.0,5.294117647058823,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,W (+13),W (+13)
4.0,4.0,2022-10-26,34-022,NYK,CHO,0,12.416666666666666,5.0,7.0,.714,1.0,2.0,.500,1,1.0,1.000,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,12.0,10.1,-4,5.0,4.0,0.8,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,7.0,95.0,5.588235294117647,9.7,97.89999999999998,5.758823529411764,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,W (+3),W (+3)
5.0,5.0,2022-10-28,34-024,NYK,MIL,0,14.866666666666667,5.0,8.0,.625,2.0,3.0,.667,0,0.0,,1.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0,12.0,11.8,+8,5.0,3.0,0.6,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,11.0,64.0,3.764705882352941,11.8,72.39999999999998,4.258823529411764,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-11),L (-11)
6.0,6.0,2022-10-30,34-026,NYK,CLE,0,14.05,3.0,5.0,.600,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,7.0,6.0,-15,3.0,2.0,0.6666666666666666,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,5.0,70.0,4.117647058823529,6.0,75.09999999999998,4.417647058823528,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-13),L (-13)
7.0,7.0,2022-11-02,34-029,NYK,ATL,0,17.0,1.0,4.0,.250,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.2,-9,2.0,0.0,0.0,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,0.0,65.0,3.823529411764706,0.1999999999999997,64.7,3.8058823529411767,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-13),L (-13)
8.0,8.0,2022-11-04,34-031,NYK,PHI,0,6.983333333333333,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,-4.4,+4,1.0,0.0,0.0,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,-4.0,71.0,4.176470588235294,-4.4,70.19999999999999,4.129411764705882,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,W (+2),W (+2)
9.0,9.0,2022-11-05,34-032,NYK,BOS,0,13.516666666666667,4.0,10.0,.400,2.0,3.0,.667,0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,10.0,6.6,+3,7.0,2.0,0.2857142857142857,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,4.0,82.0,4.823529411764706,6.599999999999998,89.19999999999999,5.247058823529411,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-15),L (-15)
10.0,10.0,2022-11-07,34-034,NYK,MIN,0,13.566666666666666,1.0,10.0,.100,0.0,5.0,.000,0,0.0,,1.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.4,+11,5.0,1.0,0.2,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,-1.0,94.0,5.529411764705882,0.3999999999999994,95.50000000000004,5.617647058823532,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,W (+13),W (+13)
