Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-09,24-250,NYK,BRK,0,20.766666666666666,2.0,7.0,.286,0.0,2.0,.000,1,1.0,1.000,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,4.2,-19,5.0,2.0,0.4,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,3.0,38.0,2.235294117647059,3.8,41.8,2.4588235294117644,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-27),L (-27)
12.0,12.0,2022-11-11,24-252,NYK,DET,0,22.383333333333333,3.0,9.0,.333,2.0,7.0,.286,0,0.0,,1.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,8.0,5.4,-5,2.0,1.0,0.5,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,6.0,70.0,4.117647058823529,5.399999999999997,88.9,5.229411764705882,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+9),W (+9)
13.0,13.0,2022-11-13,24-254,NYK,OKC,0,14.75,4.0,5.0,.800,2.0,3.0,.667,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,10.0,5.3,0,2.0,2.0,1.0,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,4.0,65.0,3.823529411764706,5.299999999999999,70.80000000000001,4.1647058823529415,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-10),L (-10)
14.0,14.0,2022-11-15,24-256,NYK,UTA,0,18.05,3.0,4.0,.750,3.0,4.0,.750,0,0.0,,1.0,5.0,6.0,4.0,0.0,0.0,0.0,1.0,9.0,12.0,+23,0.0,0.0,,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,15.0,69.0,4.0588235294117645,11.999999999999998,73.69999999999999,4.3352941176470585,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+7),W (+7)
15.0,15.0,2022-11-16,24-257,NYK,DEN,0,23.133333333333333,3.0,8.0,.375,1.0,5.0,.200,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,2.5,+7,3.0,2.0,0.6666666666666666,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,1.0,72.0,4.235294117647059,2.5,80.19999999999999,4.717647058823529,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+3),W (+3)
16.0,16.0,2022-11-18,24-259,NYK,GSW,0,18.98333333333333,0.0,5.0,.000,0.0,3.0,.000,1,2.0,.500,0.0,5.0,5.0,0.0,0.0,1.0,1.0,3.0,1.0,-2.9,-2,2.0,0.0,0.0,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,-1.0,58.0,3.411764705882353,-3.3,69.5,4.088235294117647,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-10),L (-10)
17.0,17.0,2022-11-20,24-261,NYK,PHO,0,16.35,0.0,4.0,.000,0.0,2.0,.000,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.6,-15,2.0,0.0,0.0,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,0.0,69.0,4.0588235294117645,-1.6,79.8,4.694117647058824,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-21),L (-21)
18.0,18.0,2022-11-21,24-262,NYK,OKC,0,17.65,2.0,11.0,.182,1.0,5.0,.200,0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,0.0,4.0,5.0,-0.5,+4,6.0,1.0,0.1666666666666666,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,-1.0,102.0,6.0,-0.5000000000000004,104.0,6.117647058823529,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+10),W (+10)
19.0,19.0,2022-11-25,24-266,NYK,POR,0,14.483333333333333,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,1.8,+14,0.0,0.0,,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,3.0,90.0,5.294117647058823,1.8000000000000005,96.2,5.658823529411765,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-3),L (-3)
20.0,20.0,2022-11-27,24-268,NYK,MEM,0,14.6,4.0,8.0,.500,1.0,4.0,.250,0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,9.0,5.6,-2,4.0,3.0,0.75,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,4.0,81.0,4.764705882352941,5.599999999999998,89.30000000000001,5.252941176470589,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-4),L (-4)
21.0,21.0,2022-11-29,24-270,NYK,DET,0,18.216666666666665,3.0,4.0,.750,2.0,3.0,.667,0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,8.7,-8,1.0,1.0,1.0,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,9.0,114.0,6.705882352941177,8.7,120.0,7.0588235294117645,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,,
22.0,22.0,2022-11-30,24-271,NYK,MIL,0,13.933333333333334,2.0,5.0,.400,2.0,5.0,.400,1,2.0,.500,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0,3.0,-2,0.0,0.0,,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,2.0,58.0,3.411764705882353,2.6,63.79999999999999,3.752941176470588,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+30),W (+30)
23.0,23.0,2022-12-03,24-274,NYK,DAL,0,21.95,1.0,5.0,.200,0.0,2.0,.000,2,2.0,1.000,0.0,7.0,7.0,1.0,1.0,0.0,1.0,1.0,4.0,3.3,-14,3.0,1.0,0.3333333333333333,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,5.0,57.0,3.3529411764705883,2.5,60.39999999999999,3.552941176470588,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-6),L (-6)
24.0,24.0,2022-12-04,24-275,NYK,CLE,0,12.966666666666669,2.0,7.0,.286,0.0,3.0,.000,1,2.0,.500,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,5.0,2.7,+13,4.0,2.0,0.5,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,2.0,60.0,3.5294117647058822,2.300000000000001,65.19999999999999,3.835294117647058,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-21),L (-21)
25.0,25.0,2022-12-07,24-278,NYK,ATL,0,7.533333333333333,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,-5,0.0,0.0,,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,1.0,102.0,6.0,1.6,91.4,5.376470588235295,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+11),W (+11)
26.0,,2022-12-09,24-280,NYK,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,,108.0,6.352941176470588,0.0,102.9,6.052941176470589,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+24),W (+24)
